node1,node2
329,5291
330,2199
330,2838
330,6144
332,1279
332,3536
332,3860
333,1173
334,1245
335,5926
336,5553
337,1403
337,4285
338,4803
339,4090
340,1932
342,1692
343,3611
344,1395
344,2059
344,4409
344,5846
345,5275
345,6145
346,5003
347,901
347,6390
348,3047
349,5668
350,438
350,3890
351,1995
352,259
352,5646
353,3099
353,5953
354,278
355,2919
356,2365
357,4306
358,1300
359,1134
360,4629
360,5821
361,2164
362,5027
363,4505
364,4413
364,4614
365,4639
366,1699
367,1198
367,1602
367,2136
367,2141
367,3704
367,5756
368,2860
369,1274
369,3403
369,5205
370,1449
370,2116
370,5700
371,2985
372,6178
373,2784
374,188
374,1487
374,3263
375,2239
376,586
377,1189
378,3792
378,4470
379,1449
380,530
380,3794
380,4465
380,4707
380,5036
380,6288
381,2090
382,324
382,2626
382,2896
382,4932
383,949
383,3148
384,1398
385,45
385,929
385,1049
385,1132
385,1163
385,2089
385,2501
385,3395
385,4072
385,4618
385,5605
385,5903
385,6376
385,6401
386,32
386,163
386,1333
386,1495
386,1829
386,2307
386,2529
386,2938
386,4286
386,4349
386,5427
386,5469
386,5751
387,962
387,1276
387,3295
387,6169
387,6178
388,3096
389,4021
390,5036
391,704
391,1969
392,2784
393,576
393,1932
393,4554
393,5519
394,1277
394,2907
394,3179
394,4079
394,4845
395,3795
396,1891
396,2615
396,4353
396,5195
397,4828
398,3346
399,925
400,56
402,5218
403,498
404,85
405,6320
406,4361
407,2784
408,3691
409,6263
410,3880
411,5287
412,1427
413,974
414,5105
415,507
415,1847
415,2001
415,3175
415,4046
415,5415
415,6334
416,2611
417,2426
417,3315
418,4461
419,5340
420,3301
421,2259
422,2289
423,5776
424,3812
425,5193
426,5553
427,974
428,795
429,5563
430,5019
430,5960
431,2249
432,4765
433,2519
434,1625
435,5124
436,5121
437,1606
437,2310
437,3018
437,5800
438,350
439,675
440,2816
440,4885
441,3731
442,2133
444,6407
445,911
445,1335
445,1852
445,4955
445,5621
445,5655
445,5890
446,3176
447,2965
448,1606
449,616
450,81
450,616
450,740
450,1284
450,1698
450,2131
450,2491
450,3402
450,4196
450,4241
450,4647
450,5569
451,473
451,852
451,2355
451,4453
451,4670
451,4677
451,4704
452,2448
453,3344
454,5553
455,683
456,3642
457,5764
458,5117
459,3280
459,4385
460,1385
460,3985
460,4640
461,2387
461,3408
462,2302
464,4074
465,4291
466,4694
467,2067
468,3305
468,3683
469,2684
470,2090
471,633
471,1376
471,2137
471,4262
471,4420
471,5040
472,4911
473,451
473,2862
474,4915
475,2479
475,5892
476,1396
477,94
477,1235
477,1266
477,6070
478,1187
479,2942
479,4509
480,1302
480,3921
481,6164
482,4446
483,2397
483,3605
483,3683
484,1959
485,3102
486,1738
487,1173
488,4971
489,1822
489,1863
489,2963
489,4386
489,5615
489,5817
489,6256
489,6373
490,547
490,2932
491,891
491,1438
491,5803
491,5988
492,185
493,1882
494,3004
495,898
496,1028
496,1454
497,1424
497,1491
497,4054
497,5766
497,6122
498,403
498,514
498,872
