node1,node2
6606,882
6606,1245
6606,1396
6606,1430
6606,1467
6606,1589
6606,1648
6606,2006
6606,2034
6606,2227
6606,2905
6606,3221
6606,3236
6606,3397
6606,3921
6606,5027
6606,5089
6606,5588
6606,5779
6606,6060
6606,6243
6609,5235
6620,186
6620,1024
6620,1077
6620,1353
6620,2201
6620,5238
6620,5440
6621,186
6621,194
6621,683
6621,882
6623,186
6623,387
6623,652
6623,882
6623,3295
6623,6178
6627,186
6627,233
6627,882
6627,1078
6627,2448
6627,6000
6642,186
6642,1295
6642,1589
6642,1720
6643,186
6643,882
6643,1467
6643,5027
6643,5779
6643,6060
6644,183
6644,568
6644,1081
6644,1430
6644,1648
6644,1810
6644,2259
6644,2969
6644,3010
6644,3221
6644,3414
6644,3819
6644,3921
6644,4262
6644,4813
6644,5293
6644,5298
6644,5621
6644,6207
6644,6376
6648,186
6648,445
6648,1969
6648,2399
6648,2969
6648,4813
6648,5621
6648,6376
6650,186
6650,2519
6650,5621
6650,5806
6650,5931
6650,5961
6650,6064
6651,2733
6651,2931
6651,4505
6651,5010
6651,5808
6656,186
6656,717
6656,882
6656,1520
6656,2796
6656,3124
6656,3501
6656,4074
6656,4564
6656,4813
6656,4887
6656,5621
6656,5628
6656,5961
6656,6178
6658,162
6658,186
6658,851
6658,882
6658,1184
6658,2201
6658,4573
6658,4971
6658,5318
6664,186
6664,443
6664,821
6664,882
6664,1255
6664,1274
6664,1300
6664,2115
6664,2661
6664,3414
6664,4546
6664,6249
6665,186
6665,882
6665,1251
6665,2403
6665,2738
6665,3758
6665,3803
6665,3930
6665,4971
6665,5597
6665,5919
6666,186
6666,489
6666,683
6666,851
6666,882
6666,892
6666,905
6666,1043
6666,1072
6666,1077
6666,1259
6666,2201
6666,2963
6666,4355
6666,4971
6666,5615
6666,5676
6666,6236
6669,186
6669,652
6669,882
6669,5588
6670,1077
6670,1353
6670,2201
6670,5238
6673,186
6673,1468
6673,2733
6673,2931
6673,3341
6674,186
6674,882
6674,1251
6674,2404
6674,3758
6674,3803
6674,3860
6674,4971
6674,5597
6684,5440
6693,16
6693,186
6693,652
6693,850
6693,882
6693,974
6693,1004
6693,1024
6693,1077
6693,1297
6693,1353
6693,1547
6693,1589
6693,1618
6693,2006
6693,2034
6693,2201
6693,2225
6693,2519
6693,2547
6693,2733
6693,2860
6693,2931
6693,2988
6693,3397
6693,4242
6693,4813
6693,4971
6693,5082
6693,5238
6693,5338
6693,5588
6693,5621
6693,5682
6693,5806
6693,5879
6693,5897
6693,5931
6693,5961
6693,5988
6693,6000
6693,6064
6693,6243
6693,6271
6695,186
6695,882
6695,967
6695,2140
6695,3924
6695,5273
6696,126
6696,186
6696,609
6696,2491
6696,3234
6696,4701
6696,4971
6696,6441
6703,5440
6706,186
6706,2733
6706,5010
6706,5470
6708,186
6708,283
6708,2285
6708,3501
6708,4813
6708,5621
6708,5961
6712,186
6712,683
6712,882
6712,1251
6712,3389
6712,3758
6712,3803
6712,4971
6712,5597
6712,5615
6712,6271
6713,164
6713,186
6713,882
6713,1251
6713,1578
6713,3361
6713,3758
6713,3803
6713,4582
6713,5464
6713,5597
6716,882
6716,1251
6716,1995
6716,2404
6716,2427
6716,3758
6716,3803
6716,3860
6716,4051
6716,4971
6716,5597
6717,186
