node1,node2
4,40597
4,43289
4,43860
4,44043
4,44056
4,45116
4,46342
4,47102
6,39685
6,39794
6,39850
6,39852
6,39878
6,39980
6,40023
6,40058
6,40115
6,40248
6,40308
6,40322
6,40367
6,40394
6,40539
6,40609
6,40650
6,40683
6,40749
6,40788
6,40838
6,41122
6,41181
6,41213
6,41227
6,41254
6,41614
6,41653
6,41666
6,41679
6,41787
6,41972
6,41976
6,42007
6,42136
6,42148
6,42437
6,42564
6,42576
6,42610
6,42658
6,42728
6,42834
6,42945
6,42946
6,43018
6,43047
6,43157
6,43180
6,43365
6,43374
6,43457
6,43491
6,43728
6,43908
6,43935
6,43947
6,43970
6,44096
6,44214
6,44347
6,44486
6,44543
6,44594
6,44666
6,45042
6,45100
6,45153
6,45210
6,45221
6,45241
6,45273
6,45317
6,45335
6,45351
6,45363
6,45383
6,45623
6,45687
6,45807
6,45817
6,45820
6,45823
6,45975
6,45982
6,46180
6,46246
6,46280
6,46342
6,46403
6,46504
6,46510
6,46649
6,47046
6,47176
6,47209
6,47216
6,47309
6,47326
6,47362
6,47369
6,47384
6,47493
6,47529
6,47542
6,47562
6,47640
6,47677
6,47681
7,39794
7,39852
7,39950
7,40809
7,40838
7,41230
7,41416
7,42000
7,42011
7,42324
7,42438
7,42458
7,42573
7,42615
7,43154
7,43191
7,43289
7,43342
7,43485
7,43713
7,43808
7,43906
7,43978
7,44190
7,44341
7,44375
7,44405
7,44503
7,44618
7,44625
7,44702
7,44877
7,45107
7,45161
7,45296
7,45330
7,45579
7,45636
7,45850
7,45982
7,46035
7,46621
7,47077
7,47384
7,47542
17,39708
17,40050
17,40163
17,40440
17,40737
17,41305
17,43289
17,43570
17,43764
17,43805
17,43910
17,44085
17,44920
17,46368
17,46859
17,46907
17,47145
23,39774
23,40076
23,40163
23,40232
23,40380
23,40463
23,40507
23,40875
23,40972
23,40994
23,41030
23,41142
23,41169
23,41187
23,41348
23,41517
23,41903
23,41973
23,42307
23,42437
23,42527
23,42695
23,42722
23,42736
23,42759
23,42849
23,43052
23,43103
23,43454
23,43623
23,43718
23,43791
23,43841
23,44085
23,44089
23,44093
23,44155
23,44161
23,44201
23,44258
23,44284
23,44340
23,44375
23,44382
23,44412
23,44745
23,44799
23,44872
23,44921
23,45110
23,45196
23,45210
23,45231
23,45330
23,45363
23,45530
23,45600
23,45726
23,45787
23,45806
23,45857
23,46060
23,46065
23,46073
23,46216
23,46328
23,46602
23,46828
23,47059
23,47073
23,47115
23,47194
23,47212
23,47295
23,47309
23,47390
23,47449
23,47490
23,47502
23,47513
23,47560
23,47754
29,40442
29,40583
29,41431
29,41708
29,41848
29,42437
29,42666
29,43052
29,43289
29,43772
29,43781
29,43941
29,44305
29,44669
29,44787
29,45363
29,45371
29,45754
29,46180
29,46481
29,46910
29,47103
29,47309
29,47507
29,47667
40,39859
40,40036
40,40180
40,40345
40,40660
40,40838
40,41011
40,41255
40,41558
40,41924
40,42302
40,42380
40,42437
40,42460
40,42833
40,42995
40,43047
40,43052
40,43180
40,43197
40,43289
40,43452
40,43978
40,44036
40,44375
40,44577
40,44669
40,44970
40,45039
40,45074
40,45317
40,45466
40,46452
40,46589
40,46721
40,47097
40,47309
40,47365
40,47399
40,47480
40,47483
40,47562
40,47755
42,39740
42,39811
42,40549
42,40587
42,40726
42,40840
42,40861
42,41020
42,41194
42,41354
42,41630
42,41634
42,41656
42,41718
42,42031
42,42163
42,42840
42,42863
42,43051
42,43075
42,43197
42,43216
42,43289
42,43326
42,43342
42,43446
42,43468
42,43543
42,43570
42,43594
42,43612
42,43642
42,44085
42,44162
42,44367
42,44449
42,44609
42,44623
42,44625
42,45546
42,45771
42,45774
42,46018
42,46254
42,46376
42,46537
42,46602
42,46603
42,46652
42,46921
42,47130
42,47135
42,47144
42,47179
42,47238
42,47266
42,47326
42,47771
42,47773
43,39852
43,39860
43,39880
43,39949
43,40036
43,40056
43,40059
43,40224
43,40250
43,40509
43,40514
43,40587
43,40694
43,40718
43,40721
43,40838
43,41017
43,41132
43,41217
43,41480
43,41614
43,41617
43,41634
43,41656
43,41709
43,41982
43,42073
43,42174
43,42323
43,42338
43,42373
43,42449
43,42505
43,42522
43,42833
43,42882
43,43126
43,43133
43,43180
43,43184
43,43239
43,43263
43,43270
43,43289
43,43334
43,43461
43,43570
43,43587
43,43717
43,43758
43,43862
43,43985
43,43991
43,44126
43,44362
43,44410
43,44491
43,44531
43,44625
43,44965
43,45154
43,45241
43,45330
43,45335
43,45364
43,45397
43,45669
43,45695
43,45850
43,45904
43,45931
43,45954
43,46069
43,46095
43,46362
43,46414
43,46777
43,46783
43,47059
43,47150
43,47209
43,47266
43,47319
43,47384
43,47490
43,47527
43,47542
43,47562
43,47736
43,47741
46,39754
46,40035
46,40130
46,40196
46,40400
46,40488
46,40583
46,40867
46,41226
46,41550
46,41718
46,41969
46,43289
46,43326
46,43468
46,43486
46,43505
46,43635
46,43728
46,43848
46,43978
46,44151
46,44164
46,44556
46,44805
46,44965
46,45200
46,45369
46,45593
46,45871
46,45987
46,46216
46,46325
46,46513
46,46556
46,46666
46,46688
46,46808
46,46888
46,46922
46,47052
46,47059
46,47069
46,47103
46,47162
46,47224
46,47326
46,47535
47,39742
47,39759
47,39769
47,39786
47,39841
47,39872
47,39889
47,39911
47,40040
47,40187
47,40261
47,40308
47,40459
47,40680
47,40746
47,40817
47,40838
47,40924
47,40958
47,41230
47,41285
47,41334
47,41351
47,41614
47,41926
47,42067
47,42091
47,42148
47,42234
47,42286
47,42424
47,42453
47,42569
47,42736
47,42747
47,43036
47,43050
47,43130
47,43168
47,43197
47,43250
47,43256
47,43289
47,43373
47,43399
47,43657
47,43709
47,43728
47,43970
47,43978
47,44025
47,44036
47,44067
47,44084
47,44153
47,44362
47,44491
47,44500
47,44607
47,44625
47,44669
47,44670
47,44922
47,45035
47,45064
47,45153
47,45207
47,45250
47,45296
47,45552
47,45753
47,45767
47,46084
47,46085
47,46265
47,46342
47,46477
47,46523
47,46602
47,46608
47,46801
47,47029
47,47030
47,47072
47,47088
47,47167
47,47225
47,47239
47,47266
47,47356
47,47358
47,47493
47,47513
47,47542
47,47694
47,47760
48,39740
48,40095
48,40114
48,40205
48,41449
48,41634
48,43289
48,43559
48,43570
48,43582
48,43760
48,43880
48,44625
48,45328
48,45348
48,45363
48,46342
48,46902
48,47094
48,47545
48,47741
49,39841
49,40058
49,40163
49,40231
49,40337
49,40394
49,40440
49,41624
49,44118
49,44979
49,45556
49,45613
49,45623
49,46588
49,46668
49,47349
49,47694
49,47831
58,40660
58,41357
58,41425
58,41982
58,42667
58,42687
58,42764
58,42933
58,43289
58,43374
58,43548
58,43570
58,43587
58,44669
58,45241
58,45850
58,46342
58,46498
58,47059
58,47295
58,47309
58,47523
58,47542
70,39736
70,39794
70,39852
70,39950
70,40785
70,40879
70,41357
70,41447
70,41614
70,42167
70,42840
70,42869
70,42907
70,43052
70,43180
70,43636
70,43707
70,43970
70,44405
70,44625
70,44668
70,45368
70,45397
70,45657
70,46260
70,46342
70,46649
70,46725
70,47188
70,47384
70,47665
71,39878
71,40261
71,40660
71,40675
71,40749
71,41718
71,41900
71,42163
71,42834
71,43047
71,43130
71,43180
71,43286
71,43289
71,43374
71,43548
71,43570
71,45850
71,47216
71,47542
76,39736
76,39794
76,39852
76,39950
76,40620
76,40785
76,40838
76,40863
76,40879
76,41357
76,41447
76,41551
76,41614
76,42000
76,42167
76,42196
76,42302
76,42840
76,42869
76,42907
76,43052
76,43062
76,43180
76,43289
76,43514
76,43970
76,44122
76,44405
76,44503
76,44625
76,44668
76,45107
76,45368
76,45397
76,45657
76,45823
76,45953
76,46260
76,46342
76,46465
76,46649
76,46725
76,47036
76,47164
76,47188
76,47331
76,47352
76,47384
76,47574
76,47677
76,47719
76,47755
78,39774
78,39783
78,39975
78,39990
78,40051
78,40238
78,40263
78,40602
78,40605
78,40800
78,41000
78,41116
78,41227
78,41234
78,41642
78,41812
78,41920
78,42302
78,42326
78,42370
78,42606
78,42728
78,42896
78,42986
78,43063
78,43321
78,43404
78,43540
78,43770
78,43772
78,43827
78,44316
78,44657
78,44854
78,44900
78,44921
78,45198
78,45200
78,45259
78,45268
78,45315
78,45336
78,45385
78,45436
78,45510
78,45593
78,45650
78,45723
78,46165
78,46222
78,46236
78,46526
78,46602
78,46734
78,46846
78,46853
78,46916
78,46931
78,46938
78,46957
78,47126
78,47261
78,47295
78,47423
78,47529
78,47575
78,47732
78,47744
83,39835
83,39838
83,40724
83,40879
83,41137
83,41634
83,42756
83,43051
83,43289
83,44102
83,44625
83,45330
83,45363
83,45381
83,45446
83,45463
83,45620
83,45688
83,46167
83,46266
83,46603
83,46797
83,46808
83,47059
83,47542
83,47568
89,39860
89,40485
89,40587
89,40783
89,40833
89,40879
89,41357
89,41678
89,41837
89,42124
89,42248
89,42301
89,43052
89,43147
89,43320
89,44219
89,44475
89,44512
89,44921
89,44950
89,45969
89,46009
89,46129
89,46167
89,46499
89,46595
89,47179
89,47188
89,47266
89,47295
89,47435
90,41244
90,41673
90,42095
90,42637
90,42995
90,43052
90,43834
90,44704
90,46478
90,47554
93,40394
93,41367
93,41396
93,41901
93,41947
93,42689
93,42869
93,42990
93,43023
93,43210
93,43488
93,43520
93,43570
93,43642
93,43827
93,44543
93,44557
93,44625
93,44738
93,45416
93,45454
93,45523
93,45623
93,45725
93,45962
93,45989
93,46127
93,46180
93,46498
93,46513
93,46638
93,47066
93,47292
93,47326
93,47414
93,47423
93,47641
96,39956
96,40055
96,40074
96,40193
96,40373
96,40800
96,41234
96,41614
96,41617
96,41989
96,42053
96,42196
96,42227
96,42324
96,42506
96,43289
96,43461
96,43772
96,44382
96,44485
96,44585
96,46311
96,47319
96,47326
96,47486
96,47542
96,47639
98,39811
98,39839
98,39878
98,39925
98,40126
98,40587
98,40680
98,40881
98,41011
98,41255
98,41558
98,41634
98,41656
98,41718
98,41786
98,41924
98,41982
98,42128
98,42231
98,42302
98,42437
98,42453
98,42736
98,42744
98,42833
98,43197
98,43240
98,43261
98,43270
98,43289
98,43354
98,43452
98,43543
98,43548
98,43715
98,43728
98,43978
98,44016
98,44036
98,44084
98,44186
98,44238
98,44375
98,44382
98,44491
98,44577
98,44669
98,44702
98,44836
98,44922
98,44954
98,44965
98,44998
98,45039
98,45094
98,45095
98,45317
98,45318
98,45330
98,45363
98,45465
98,45774
98,45850
98,45856
98,46181
98,46378
98,46680
98,46721
98,46746
98,46778
98,46948
98,47103
98,47245
98,47266
98,47365
98,47480
98,47490
98,47503
98,47542
98,47562
98,47755
98,47775
99,41673
99,42995
99,43052
99,47554
103,42589
103,43052
103,44752
103,46167
108,39906
108,40902
108,41591
108,41649
108,41666
108,41976
108,42030
108,42239
108,42245
108,42437
108,42453
108,42869
108,42937
108,43103
108,43201
108,43210
108,43289
108,43456
108,43550
108,43624
108,43709
108,43814
108,44316
108,44491
108,44597
108,45226
108,45317
108,45854
108,47059
